,SERIALNO,NP,VEH,HINCP,WIF
1969,2017000721673,1,4.0,81800.0,
1970,2017000721886,2,6.0,135000.0,2.0
1971,2017000722304,2,2.0,70200.0,1.0
1972,2017000723083,3,3.0,32800.0,1.0
1973,2017000723106,2,3.0,61200.0,1.0
1974,2017000723251,2,2.0,48800.0,1.0
1975,2017000723420,2,4.0,458000.0,2.0
1976,2017000723662,2,1.0,15500.0,1.0
1977,2017000724129,2,2.0,46800.0,2.0
1978,2017000724546,1,2.0,38600.0,
1979,2017000724777,1,1.0,20090.0,
1980,2017000725038,0,,,
1981,2017000725203,0,,,
1982,2017000725506,2,3.0,95800.0,2.0
1983,2017000725865,5,2.0,110000.0,2.0
1984,2017000726115,1,2.0,30600.0,
1985,2017000726716,1,1.0,12400.0,
1986,2017000727105,1,1.0,5000.0,
1987,2017000727204,0,,,
1988,2017000727464,6,3.0,330000.0,1.0
1989,2017000727478,1,1.0,28100.0,
1990,2017000727809,5,1.0,8000.0,1.0
1991,2017000728889,1,1.0,25000.0,
1992,2017000728938,2,1.0,35200.0,2.0
1993,2017000729323,1,1.0,18400.0,
1994,2017000729466,1,1.0,38200.0,
1995,2017000729718,4,4.0,11000.0,
1996,2017000729764,1,1.0,54000.0,
1997,2017000729956,0,,,
1998,2017000730051,2,2.0,53000.0,
1999,2017000730293,2,2.0,168900.0,2.0
2000,2017000730792,4,3.0,103700.0,2.0
2001,2017000730858,2,1.0,99000.0,2.0
2002,2017000731134,1,1.0,9200.0,
2003,2017000731252,1,1.0,30000.0,
2004,2017000731372,1,1.0,30000.0,
2005,2017000731474,2,2.0,152000.0,2.0
2006,2017000732176,4,2.0,65000.0,1.0
2007,2017000732237,3,4.0,130000.0,3.0
2008,2017000733219,1,1.0,67000.0,
2009,2017000733395,0,,,
2010,2017000733461,0,,,
2011,2017000733705,2,2.0,54900.0,1.0
2012,2017000733947,6,5.0,131000.0,2.0
2013,2017000734258,3,2.0,36800.0,0.0
2014,2017000734808,2,2.0,269210.0,1.0
2015,2017000735058,1,1.0,15000.0,
2016,2017000735730,4,4.0,113360.0,3.0
2017,2017000735777,2,2.0,168000.0,
2018,2017000735998,3,3.0,23000.0,2.0
2019,2017000736221,3,3.0,40000.0,3.0
2020,2017000736308,1,2.0,21940.0,
2021,2017000736451,2,3.0,130000.0,2.0
2022,2017000736697,4,2.0,42000.0,2.0
2023,2017000736769,2,3.0,39320.0,1.0
2024,2017000737011,1,0.0,105900.0,
2025,2017000737105,1,1.0,6100.0,
2026,2017000737275,2,2.0,77300.0,
2027,2017000737311,0,,,
2028,2017000737332,4,4.0,37700.0,3.0
2029,2017000737408,2,3.0,83000.0,2.0
2030,2017000737707,3,2.0,59000.0,2.0
2031,2017000738034,11,6.0,58020.0,2.0
2032,2017000739278,7,3.0,32500.0,2.0
2033,2017000739737,1,5.0,12050.0,
2034,2017000739893,3,2.0,61200.0,2.0
2035,2017000740440,2,2.0,26500.0,0.0
2036,2017000740859,0,,,
2037,2017000741225,2,2.0,28000.0,2.0
2038,2017000741926,7,2.0,37500.0,1.0
2039,2017000742496,2,3.0,75000.0,2.0
2040,2017000743044,0,,,
2041,2017000743649,2,3.0,58800.0,0.0
2042,2017000743775,1,1.0,91000.0,
2043,2017000743799,4,2.0,98000.0,2.0
2044,2017000744128,2,2.0,64000.0,2.0
2045,2017000744806,0,,,
2046,2017000745089,2,6.0,161400.0,0.0
2047,2017000745112,1,3.0,30000.0,
2048,2017000745165,0,,,
2049,2017000745337,5,4.0,134400.0,3.0
2050,2017000746082,2,3.0,59000.0,1.0
2051,2017000746781,1,1.0,50000.0,
2052,2017000747586,8,2.0,14400.0,0.0
2053,2017000747622,2,4.0,86500.0,2.0
2054,2017000748396,2,2.0,59000.0,2.0
2055,2017000748467,1,1.0,15600.0,
2056,2017000748911,2,4.0,8400.0,1.0
2057,2017000749358,2,2.0,54700.0,1.0
2058,2017000749851,2,4.0,140000.0,2.0
2059,2017000749872,5,3.0,36290.0,0.0
2060,2017000750138,3,3.0,93000.0,3.0
2061,2017000750469,2,2.0,30800.0,0.0
2062,2017000750773,2,2.0,78000.0,2.0
2063,2017000750935,1,2.0,50000.0,
2064,2017000750941,6,2.0,60600.0,1.0
2065,2017000751618,2,4.0,39500.0,2.0
2066,2017000751957,5,5.0,132370.0,3.0
2067,2017000752153,1,1.0,20000.0,
2068,2017000752225,0,,,
2069,2017000752599,2,2.0,51130.0,2.0
2070,2017000753197,2,3.0,46000.0,
2071,2017000753260,1,0.0,10000.0,
2072,2017000753551,2,2.0,53800.0,2.0
2073,2017000754166,1,0.0,11890.0,
2074,2017000754362,0,,,
2075,2017000754943,1,1.0,100000.0,
2076,2017000755373,5,4.0,65000.0,3.0
2077,2017000755612,2,3.0,51280.0,2.0
2078,2017000755896,2,2.0,60000.0,2.0
2079,2017000756895,2,2.0,24400.0,1.0
2080,2017000757719,3,0.0,18300.0,0.0
2081,2017000757725,0,,,
2082,2017000758036,6,6.0,64700.0,3.0
2083,2017000758563,1,1.0,21800.0,
2084,2017000758665,3,3.0,84000.0,2.0
2085,2017000758747,1,1.0,67000.0,
2086,2017000758927,1,1.0,40000.0,
2087,2017000759023,1,2.0,40000.0,
2088,2017000759528,4,3.0,42800.0,1.0
2089,2017000759943,2,5.0,52700.0,1.0
2090,2017000760360,0,,,
2091,2017000760384,0,,,
2092,2017000760474,1,0.0,13000.0,
2093,2017000760624,0,,,
2094,2017000760632,2,1.0,65600.0,0.0
2095,2017000760788,2,2.0,282000.0,2.0
2096,2017000761145,3,4.0,67000.0,2.0
2097,2017000761739,0,,,
2098,2017000762162,2,0.0,27900.0,
2099,2017000762356,3,3.0,10000.0,1.0
2100,2017000762408,2,3.0,133000.0,2.0
2101,2017000763155,2,2.0,150000.0,2.0
2102,2017000763318,2,3.0,50000.0,2.0
2103,2017000763645,3,2.0,80000.0,2.0
2104,2017000763918,4,3.0,95000.0,1.0
2105,2017000763990,2,2.0,44000.0,
2106,2017000764095,3,3.0,34220.0,2.0
2107,2017000765092,4,4.0,306000.0,2.0
2108,2017000765283,2,3.0,59500.0,2.0
2109,2017000765343,5,3.0,153800.0,2.0
2110,2017000765694,4,1.0,33330.0,2.0
2111,2017000765782,2,5.0,41200.0,1.0
2112,2017000765997,2,2.0,95000.0,2.0
2113,2017000766101,4,3.0,81000.0,2.0
2114,2017000766858,0,,,
2115,2017000767090,1,2.0,42900.0,
2116,2017000767816,1,3.0,46300.0,
2117,2017000768298,2,3.0,81000.0,2.0
2118,2017000768300,2,3.0,109000.0,1.0
2119,2017000768835,5,3.0,155000.0,2.0
2120,2017000769391,0,,,
2121,2017000769642,2,3.0,54600.0,0.0
2122,2017000769732,2,3.0,83000.0,0.0
2123,2017000769748,3,3.0,110000.0,2.0
2124,2017000770474,4,2.0,80000.0,2.0
2125,2017000770608,2,2.0,95700.0,2.0
2126,2017000770716,1,1.0,36320.0,
2127,2017000770806,0,,,
2128,2017000771721,2,3.0,320600.0,2.0
2129,2017000771742,3,6.0,186000.0,2.0
2130,2017000772066,3,2.0,46500.0,1.0
2131,2017000772182,1,1.0,32000.0,
2132,2017000772209,2,1.0,22800.0,1.0
2133,2017000772323,1,1.0,50000.0,
2134,2017000772398,2,3.0,47000.0,2.0
2135,2017000772436,0,,,
2136,2017000772641,1,1.0,61800.0,
2137,2017000772823,2,0.0,110000.0,2.0
2138,2017000773718,3,5.0,155110.0,3.0
2139,2017000773816,4,2.0,165000.0,2.0
2140,2017000774586,1,0.0,12000.0,
2141,2017000775143,4,2.0,120000.0,2.0
2142,2017000775757,2,3.0,99000.0,1.0
2143,2017000775764,2,2.0,78000.0,1.0
2144,2017000775775,1,2.0,52600.0,
2145,2017000776129,4,2.0,356000.0,2.0
2146,2017000776202,0,,,
2147,2017000776280,0,,,
2148,2017000776742,3,3.0,69300.0,
2149,2017000776885,2,0.0,12050.0,1.0
2150,2017000777593,2,3.0,77240.0,2.0
2151,2017000778413,0,,,
2152,2017000778495,3,5.0,39500.0,1.0
2153,2017000778721,2,2.0,176000.0,1.0
2154,2017000778766,4,4.0,264600.0,2.0
2155,2017000778853,2,2.0,-15600.0,2.0
2156,2017000779089,2,1.0,21600.0,0.0
2157,2017000779097,2,2.0,0.0,0.0
2158,2017000779212,1,2.0,57100.0,
2159,2017000779757,1,2.0,35000.0,
2160,2017000779817,4,3.0,68000.0,3.0
2161,2017000780531,2,3.0,164600.0,2.0
2162,2017000780757,1,0.0,0.0,
2163,2017000781360,5,3.0,117000.0,3.0
2164,2017000782408,0,,,
2165,2017000782698,1,1.0,22300.0,
2166,2017000782721,1,2.0,11530.0,
2167,2017000783700,2,3.0,180000.0,0.0
2168,2017000783714,1,1.0,14900.0,
2169,2017000784220,2,1.0,37000.0,1.0
2170,2017000784287,2,3.0,57700.0,1.0
2171,2017000784504,1,1.0,17200.0,
2172,2017000784788,2,2.0,80500.0,
2173,2017000785477,4,2.0,129000.0,2.0
2174,2017000786202,2,2.0,20800.0,1.0
2175,2017000786463,1,1.0,39300.0,
2176,2017000786467,2,1.0,33200.0,0.0
2177,2017000787436,2,4.0,107000.0,2.0
2178,2017000787502,2,1.0,67700.0,2.0
2179,2017000787878,3,4.0,138600.0,2.0
2180,2017000788163,1,1.0,71000.0,
2181,2017000788999,1,1.0,15100.0,
2182,2017000789068,4,2.0,74500.0,1.0
2183,2017000789639,1,1.0,17100.0,
2184,2017000789669,2,5.0,62600.0,2.0
2185,2017000789693,1,1.0,90700.0,
2186,2017000789923,4,2.0,82200.0,2.0
2187,2017000790409,1,1.0,45000.0,
2188,2017000790427,3,4.0,130700.0,2.0
2189,2017000791079,0,,,
2190,2017000791191,2,2.0,85000.0,2.0
2191,2017000791644,7,3.0,46400.0,2.0
2192,2017000792247,0,,,
2193,2017000792498,3,4.0,66400.0,2.0
2194,2017000792993,4,3.0,135000.0,2.0
2195,2017000793106,1,0.0,10580.0,
2196,2017000793564,3,1.0,12800.0,0.0
2197,2017000793629,1,1.0,50000.0,
2198,2017000793966,2,2.0,87000.0,2.0
2199,2017000794169,2,2.0,62600.0,1.0
2200,2017000794471,2,2.0,65000.0,1.0
2201,2017000794551,2,2.0,83000.0,2.0
2202,2017000794883,2,2.0,42600.0,
2203,2017000794968,2,1.0,78000.0,
2204,2017000795656,2,3.0,138500.0,2.0
2205,2017000796972,4,3.0,72000.0,2.0
2206,2017000797467,0,,,
2207,2017000797492,3,2.0,101800.0,3.0
2208,2017000797990,3,1.0,12000.0,1.0
2209,2017000798056,6,3.0,95000.0,1.0
2210,2017000798576,2,3.0,54820.0,2.0
2211,2017000799481,1,1.0,150000.0,
2212,2017000799569,2,2.0,32400.0,0.0
2213,2017000800101,1,1.0,5800.0,
2214,2017000800143,1,0.0,3600.0,
2215,2017000800748,3,3.0,69100.0,2.0
2216,2017000800840,1,1.0,26200.0,
2217,2017000801287,6,2.0,88000.0,2.0
2218,2017000801291,2,2.0,58000.0,
2219,2017000801304,1,1.0,125000.0,
2220,2017000801448,1,3.0,27500.0,
2221,2017000802310,3,2.0,98000.0,1.0
2222,2017000802389,1,1.0,40000.0,
2223,2017000802491,8,1.0,15810.0,1.0
2224,2017000802999,1,6.0,17000.0,
2225,2017000803000,0,,,
2226,2017000803510,1,1.0,24000.0,
2227,2017000804403,2,2.0,60000.0,2.0
2228,2017000804621,4,2.0,25300.0,1.0
2229,2017000804909,5,3.0,140000.0,2.0
2230,2017000805275,2,2.0,98100.0,0.0
2231,2017000805671,6,4.0,20200.0,2.0
2232,2017000805700,1,1.0,17270.0,
2233,2017000805970,2,2.0,45000.0,1.0
2234,2017000806137,2,3.0,37400.0,0.0
2235,2017000806191,1,0.0,32400.0,
2236,2017000806249,1,1.0,18500.0,
2237,2017000806556,0,,,
2238,2017000807782,3,2.0,9000.0,1.0
2239,2017000808082,3,1.0,41000.0,2.0
2240,2017000808146,2,2.0,55500.0,0.0
2241,2017000809304,0,,,
2242,2017000809332,0,,,
2243,2017000809571,2,5.0,58600.0,2.0
2244,2017000809755,2,1.0,73400.0,2.0
2245,2017000809777,7,2.0,55000.0,2.0
2246,2017000810433,2,0.0,125000.0,2.0
2247,2017000810476,1,1.0,34000.0,
2248,2017000810527,1,2.0,32000.0,
2249,2017000810771,3,2.0,79000.0,2.0
2250,2017000811099,2,2.0,67800.0,0.0
2251,2017000811223,0,,,
2252,2017000811519,0,,,
2253,2017000811586,2,2.0,55000.0,2.0
2254,2017000811789,2,3.0,39000.0,2.0
2255,2017000811802,1,1.0,18600.0,
2256,2017000812013,1,2.0,73900.0,
2257,2017000812206,3,6.0,125000.0,3.0
2258,2017000812622,4,3.0,92000.0,2.0
2259,2017000813300,1,3.0,169000.0,
2260,2017000813344,3,4.0,117200.0,3.0
2261,2017000813433,3,3.0,111500.0,3.0
2262,2017000813519,4,1.0,60580.0,1.0
2263,2017000813596,2,3.0,76300.0,1.0
2264,2017000813831,0,,,
2265,2017000814435,3,4.0,78400.0,1.0
2266,2017000814583,4,2.0,100800.0,3.0
2267,2017000814891,1,0.0,29400.0,
2268,2017000816021,2,2.0,55000.0,2.0
2269,2017000816044,2,4.0,199500.0,2.0
2270,2017000816141,2,2.0,42000.0,1.0
2271,2017000816414,2,2.0,116710.0,2.0
2272,2017000816925,2,2.0,27310.0,
2273,2017000816991,1,1.0,16200.0,
2274,2017000817544,3,2.0,44000.0,2.0
2275,2017000818172,1,4.0,75000.0,
2276,2017000819982,6,2.0,96400.0,2.0
2277,2017000820036,1,5.0,20600.0,
2278,2017000820443,2,2.0,67700.0,1.0
2279,2017000821038,0,,,
2280,2017000821751,0,,,
2281,2017000822131,1,2.0,25000.0,
2282,2017000822525,2,2.0,93600.0,2.0
2283,2017000822900,2,2.0,44000.0,
2284,2017000823661,1,2.0,57100.0,
2285,2017000824041,2,3.0,55000.0,1.0
2286,2017000824426,0,,,
2287,2017000824627,2,2.0,58000.0,2.0
2288,2017000825040,1,1.0,300.0,
2289,2017000825314,1,0.0,19000.0,
2290,2017000825335,6,4.0,179000.0,3.0
2291,2017000825470,2,2.0,80300.0,2.0
2292,2017000825545,2,2.0,20000.0,0.0
2293,2017000826007,2,3.0,56000.0,2.0
2294,2017000826400,2,3.0,25000.0,1.0
2295,2017000826459,2,2.0,59500.0,1.0
2296,2017000826470,0,,,
2297,2017000826888,2,3.0,54100.0,1.0
2298,2017000826985,2,3.0,31100.0,1.0
2299,2017000827374,8,3.0,64000.0,2.0
2300,2017000827738,1,1.0,12800.0,
2301,2017000827908,1,1.0,27200.0,
2302,2017000827929,3,3.0,104000.0,3.0
2303,2017000828007,2,2.0,68850.0,1.0
2304,2017000828401,3,3.0,50500.0,2.0
2305,2017000828878,4,5.0,172300.0,3.0
2306,2017000829708,2,2.0,63100.0,1.0
2307,2017000829963,1,2.0,65800.0,
2308,2017000830366,7,1.0,18000.0,1.0
2309,2017000830683,0,,,
2310,2017000830703,2,2.0,93520.0,2.0
2311,2017000830972,0,,,
2312,2017000830977,5,2.0,160000.0,1.0
2313,2017000831008,10,5.0,94000.0,3.0
2314,2017000831174,2,2.0,72100.0,2.0
2315,2017000831912,1,1.0,33000.0,
2316,2017000833679,0,,,
2317,2017000833705,1,1.0,100000.0,
2318,2017000833766,2,2.0,32004.0,2.0
2319,2017000834510,2,2.0,156950.0,2.0
2320,2017000835151,1,0.0,42700.0,
2321,2017000835165,2,2.0,52620.0,2.0
2322,2017000835343,4,3.0,285900.0,2.0
2323,2017000835633,2,2.0,99500.0,2.0
2324,2017000836714,1,2.0,29400.0,
2325,2017000836743,3,3.0,134000.0,3.0
2326,2017000836868,1,1.0,60000.0,
2327,2017000837743,4,2.0,84000.0,1.0
2328,2017000838019,4,3.0,42500.0,1.0
2329,2017000838046,2,2.0,65000.0,1.0
2330,2017000838136,2,2.0,67400.0,2.0
2331,2017000838814,4,2.0,421000.0,2.0
2332,2017000838834,1,1.0,24300.0,
2333,2017000838995,2,2.0,57800.0,2.0
2334,2017000839221,1,1.0,35040.0,
2335,2017000839429,2,1.0,44000.0,2.0
2336,2017000839776,2,6.0,87000.0,2.0
2337,2017000840148,2,3.0,69200.0,1.0
2338,2017000840925,1,1.0,22000.0,
2339,2017000840959,4,3.0,45000.0,1.0
2340,2017000841222,1,1.0,15600.0,
2341,2017000841374,3,3.0,95000.0,2.0
2342,2017000841789,1,2.0,32000.0,
2343,2017000842370,3,2.0,52500.0,3.0
2344,2017000845040,2,2.0,74000.0,
2345,2017000845332,1,1.0,16200.0,
2346,2017000845801,2,4.0,134400.0,2.0
2347,2017000846580,1,1.0,10500.0,
2348,2017000847297,0,,,
2349,2017000847332,1,2.0,22000.0,
2350,2017000847545,1,2.0,30000.0,
2351,2017000848348,4,4.0,99500.0,3.0
2352,2017000848373,2,2.0,37500.0,2.0
2353,2017000848450,2,1.0,6800.0,
2354,2017000848845,2,2.0,83050.0,2.0
2355,2017000849009,5,2.0,167340.0,2.0
2356,2017000849195,2,3.0,79000.0,2.0
2357,2017000849239,4,2.0,63500.0,2.0
2358,2017000849676,1,1.0,52100.0,
2359,2017000849953,2,2.0,69000.0,
2360,2017000850001,2,2.0,70400.0,0.0
2361,2017000850676,3,2.0,140000.0,2.0
2362,2017000850934,2,2.0,362200.0,1.0
2363,2017000851153,4,3.0,80310.0,2.0
2364,2017000851328,2,1.0,41800.0,0.0
2365,2017000851394,4,2.0,24000.0,1.0
2366,2017000851608,0,,,
2367,2017000851814,1,0.0,40000.0,
2368,2017000851985,2,2.0,292000.0,1.0
2369,2017000852141,2,3.0,76000.0,0.0
2370,2017000852656,1,2.0,20000.0,
2371,2017000852804,2,3.0,110000.0,2.0
2372,2017000854117,2,2.0,110000.0,2.0
2373,2017000854834,2,3.0,111000.0,2.0
2374,2017000855057,2,2.0,71720.0,2.0
2375,2017000855096,5,3.0,146700.0,3.0
2376,2017000855613,1,1.0,15000.0,
2377,2017000855627,4,3.0,106000.0,2.0
2378,2017000855835,1,1.0,0.0,
2379,2017000857623,3,1.0,48000.0,1.0
2380,2017000857817,1,1.0,30700.0,
2381,2017000858723,2,2.0,24000.0,1.0
2382,2017000859147,6,1.0,76000.0,2.0
2383,2017000859461,2,4.0,108000.0,2.0
2384,2017000860128,5,4.0,120200.0,3.0
2385,2017000860338,2,2.0,99900.0,2.0
2386,2017000860411,3,2.0,90000.0,2.0
2387,2017000860858,1,2.0,99600.0,
2388,2017000861279,0,,,
2389,2017000861613,1,1.0,10800.0,
2390,2017000861857,1,1.0,26100.0,
2391,2017000862000,2,1.0,42000.0,1.0
2392,2017000862842,1,2.0,70000.0,
2393,2017000863285,3,3.0,51200.0,2.0
2394,2017000863407,1,1.0,0.0,
2395,2017000863808,2,2.0,90000.0,
2396,2017000864197,0,,,
2397,2017000864231,0,,,
2398,2017000864310,2,3.0,2170.0,0.0
2399,2017000864618,3,3.0,68500.0,2.0
2400,2017000865007,4,6.0,130000.0,
2401,2017000865131,2,2.0,370000.0,2.0
2402,2017000865332,2,2.0,46800.0,1.0
2403,2017000865510,2,2.0,38000.0,0.0
2404,2017000865641,1,1.0,12000.0,
2405,2017000866583,0,,,
2406,2017000866644,3,1.0,24000.0,1.0
2407,2017000866995,2,2.0,29800.0,0.0
2408,2017000867104,1,2.0,47000.0,
2409,2017000867141,4,2.0,88000.0,2.0
2410,2017000867666,1,0.0,7400.0,
2411,2017000867715,0,,,
2412,2017000867801,0,,,
2413,2017000867806,1,2.0,33400.0,
2414,2017000867884,2,2.0,31950.0,0.0
2415,2017000868404,4,3.0,93600.0,2.0
2416,2017000868834,8,2.0,23000.0,1.0
2417,2017000869101,1,2.0,30000.0,
2418,2017000869524,3,2.0,24400.0,
2419,2017000869920,1,1.0,30000.0,
2420,2017000870099,1,1.0,33000.0,
2421,2017000870132,2,3.0,67600.0,1.0
2422,2017000870156,2,2.0,50000.0,2.0
2423,2017000870618,5,1.0,87290.0,3.0
2424,2017000870657,1,2.0,9640.0,
2425,2017000870876,2,1.0,56800.0,1.0
2426,2017000871357,2,2.0,289000.0,0.0
2427,2017000872441,1,2.0,110000.0,
2428,2017000873373,2,6.0,180800.0,1.0
2429,2017000874263,0,,,
2430,2017000874437,2,0.0,7600.0,
2431,2017000874868,0,,,
2432,2017000875206,0,,,
2433,2017000875270,1,1.0,17300.0,
2434,2017000875765,2,2.0,65000.0,2.0
2435,2017000876052,0,,,
2436,2017000876218,1,0.0,11800.0,
2437,2017000876389,4,4.0,66000.0,2.0
2438,2017000876430,3,3.0,80000.0,2.0
2439,2017000876761,2,3.0,90500.0,2.0
2440,2017000876911,2,2.0,66000.0,1.0
2441,2017000877249,3,3.0,44000.0,1.0
2442,2017000877279,2,3.0,69800.0,1.0
2443,2017000877639,2,2.0,59000.0,2.0
2444,2017000878125,2,2.0,152300.0,1.0
2445,2017000878438,1,1.0,83030.0,
2446,2017000878480,1,2.0,30100.0,
2447,2017000878495,2,4.0,18200.0,2.0
2448,2017000878810,2,1.0,28000.0,1.0
2449,2017000878929,2,1.0,35700.0,2.0
2450,2017000879203,4,2.0,127700.0,2.0
2451,2017000879712,2,4.0,91000.0,1.0
2452,2017000880258,5,3.0,75000.0,2.0
2453,2017000880794,1,0.0,41300.0,
2454,2017000881124,5,0.0,85000.0,2.0
2455,2017000881401,2,3.0,127020.0,2.0
2456,2017000881607,1,1.0,10100.0,
2457,2017000881640,1,2.0,45000.0,
2458,2017000881953,1,1.0,13000.0,
2459,2017000882377,0,,,
2460,2017000883179,2,2.0,115000.0,2.0
2461,2017000883473,0,,,
2462,2017000883713,4,2.0,105200.0,2.0
2463,2017000885838,2,2.0,46600.0,1.0
2464,2017000885923,4,4.0,101000.0,2.0
2465,2017000886024,3,1.0,91500.0,1.0
2466,2017000886253,0,,,
2467,2017000886396,1,1.0,12400.0,
2468,2017000886570,7,3.0,77800.0,2.0
2469,2017000886860,1,1.0,26900.0,
2470,2017000887361,1,1.0,22200.0,
2471,2017000887728,6,2.0,63580.0,2.0
2472,2017000887918,4,2.0,87500.0,2.0
2473,2017000888221,2,2.0,29900.0,0.0
2474,2017000888977,1,2.0,13650.0,
2475,2017000889952,5,2.0,61000.0,2.0
2476,2017000890757,2,3.0,79000.0,2.0
2477,2017000891372,0,,,
2478,2017000891797,1,1.0,50000.0,
2479,2017000892066,4,3.0,124000.0,2.0
2480,2017000892132,0,,,
2481,2017000892138,3,3.0,291700.0,3.0
2482,2017000892238,4,2.0,75000.0,2.0
2483,2017000893508,3,5.0,89000.0,3.0
2484,2017000893926,1,1.0,21000.0,
2485,2017000894255,2,2.0,91000.0,2.0
2486,2017000894530,2,2.0,46400.0,
2487,2017000894835,1,3.0,12400.0,
2488,2017000894837,2,1.0,35400.0,1.0
2489,2017000895402,1,2.0,30000.0,
2490,2017000896578,0,,,
2491,2017000896994,4,2.0,41800.0,3.0
2492,2017000897644,1,1.0,95900.0,
2493,2017000897828,1,1.0,1000.0,
2494,2017000897834,2,2.0,139300.0,1.0
2495,2017000898223,0,,,
2496,2017000898268,1,1.0,35000.0,
2497,2017000898426,2,2.0,50000.0,2.0
2498,2017000898477,5,2.0,130000.0,2.0
2499,2017000898762,1,0.0,12900.0,
2500,2017000899516,3,1.0,31500.0,1.0
2501,2017000900867,1,1.0,12000.0,
2502,2017000901899,1,1.0,17500.0,
2503,2017000902550,2,2.0,53600.0,0.0
2504,2017000902984,0,,,
2505,2017000903276,2,2.0,72000.0,0.0
2506,2017000903551,1,6.0,35000.0,
2507,2017000903650,1,2.0,60000.0,
2508,2017000903658,2,6.0,168000.0,2.0
2509,2017000904255,2,2.0,82700.0,1.0
2510,2017000904386,1,3.0,34700.0,
2511,2017000904646,2,2.0,90000.0,
2512,2017000905147,1,2.0,65000.0,
2513,2017000905261,0,,,
2514,2017000905906,4,2.0,32900.0,2.0
2515,2017000906276,5,1.0,66000.0,0.0
2516,2017000906773,3,4.0,106400.0,3.0
2517,2017000906978,2,2.0,64000.0,2.0
2518,2017000906996,4,2.0,78000.0,2.0
2519,2017000907004,5,2.0,31600.0,1.0
2520,2017000907022,1,3.0,60300.0,
2521,2017000907165,0,,,
2522,2017000907409,1,2.0,45000.0,
2523,2017000907656,2,2.0,36100.0,2.0
2524,2017000907940,0,,,
2525,2017000907948,1,2.0,26200.0,
2526,2017000908095,2,2.0,86000.0,2.0
2527,2017000908282,2,3.0,60400.0,2.0
2528,2017000908540,2,2.0,42900.0,
2529,2017000909271,2,2.0,85100.0,1.0
2530,2017000911209,4,4.0,90000.0,3.0
2531,2017000911360,2,6.0,100000.0,2.0
2532,2017000912289,5,1.0,35900.0,1.0
2533,2017000912383,3,6.0,87000.0,3.0
2534,2017000912942,5,3.0,190300.0,3.0
2535,2017000912990,0,,,
2536,2017000913388,2,2.0,85250.0,1.0
2537,2017000913736,6,0.0,23700.0,2.0
2538,2017000913745,5,5.0,203000.0,3.0
2539,2017000914321,4,2.0,72500.0,1.0
2540,2017000914707,2,2.0,103000.0,0.0
2541,2017000914875,2,1.0,130000.0,2.0
2542,2017000915042,3,3.0,87400.0,2.0
2543,2017000915442,3,4.0,80000.0,2.0
2544,2017000915603,0,,,
2545,2017000915632,5,3.0,36650.0,2.0
2546,2017000917452,2,3.0,63000.0,2.0
2547,2017000918024,0,,,
2548,2017000918429,2,4.0,75200.0,1.0
2549,2017000918453,3,2.0,45000.0,1.0
2550,2017000918803,2,2.0,69500.0,2.0
2551,2017000920413,2,3.0,42100.0,2.0
2552,2017000920519,0,,,
2553,2017000921131,4,5.0,128200.0,3.0
2554,2017000921244,1,1.0,34000.0,
2555,2017000921689,0,,,
2556,2017000921707,1,1.0,50300.0,
2557,2017000922184,1,0.0,0.0,
2558,2017000922470,8,2.0,36000.0,2.0
2559,2017000923429,2,1.0,81800.0,0.0
2560,2017000923784,1,1.0,28200.0,
2561,2017000923830,0,,,
2562,2017000924006,0,,,
2563,2017000924313,0,,,
2564,2017000924316,2,2.0,76000.0,2.0
2565,2017000924491,2,3.0,121200.0,2.0
2566,2017000924609,1,1.0,1800.0,
2567,2017000925338,1,1.0,12000.0,
2568,2017000925396,1,2.0,230100.0,
2569,2017000925921,4,3.0,119000.0,3.0
2570,2017000926709,2,3.0,129150.0,2.0
2571,2017000927988,4,2.0,85000.0,1.0
2572,2017000928763,0,,,
2573,2017000929297,2,2.0,127000.0,2.0
2574,2017000929479,1,1.0,29980.0,
2575,2017000929498,1,2.0,64940.0,
2576,2017000929827,2,2.0,81000.0,2.0
2577,2017000930262,1,1.0,9900.0,
2578,2017000931276,1,1.0,72000.0,
2579,2017000931539,3,3.0,24500.0,3.0
2580,2017000931679,2,1.0,48700.0,0.0
2581,2017000932031,0,,,
2582,2017000932516,2,2.0,86300.0,0.0
2583,2017000933036,6,2.0,76000.0,2.0
2584,2017000933574,4,2.0,182500.0,3.0
2585,2017000934165,7,2.0,50000.0,1.0
2586,2017000935146,2,3.0,45000.0,2.0
2587,2017000935214,1,2.0,50000.0,
2588,2017000935300,1,1.0,33000.0,
2589,2017000935748,0,,,
2590,2017000936046,2,3.0,384.0,2.0
2591,2017000936250,0,,,
2592,2017000936456,0,,,
2593,2017000936547,2,2.0,54000.0,1.0
2594,2017000936797,1,1.0,21200.0,
2595,2017000937080,0,,,
2596,2017000937355,4,3.0,50400.0,3.0
2597,2017000937620,2,2.0,52600.0,2.0
2598,2017000937972,2,3.0,27800.0,1.0
2599,2017000938053,2,2.0,10100.0,0.0
2600,2017000938594,1,1.0,23000.0,
2601,2017000938620,2,4.0,35100.0,0.0
2602,2017000938700,1,1.0,12000.0,
2603,2017000938809,2,2.0,49500.0,2.0
2604,2017000938850,1,1.0,43500.0,
2605,2017000938894,2,6.0,94000.0,2.0
2606,2017000938961,2,1.0,35000.0,1.0
2607,2017000939111,2,3.0,91000.0,1.0
