Household Identifier,Person Identifier,"Incrementing travel day trip number, starting at 1 for each person in the file",Trip Start Time (HHMM),Trip End Time (HHMM),Trip Duration in Minutes,"Trip distance in miles, derived from route geometry returned by Google Maps API, or from reported loop-trip distance","Trip Mode, derived",Count of People on Trip,Count of Household Members on Trip,Household Vehicle Identifier Used on Trip,Transit wait time in minutes,Count of Transfers,Trip Time to Transit Station in Minutes,Parked or Dropped Off at Station,Time to Destination from Transit in Minutes,Person Identifier Who Drove on Trip,Trip Origin Purpose,Trip origin and destination at identical location,Household Vehicle Used on Trip,Household member drove on trip,Number of household members on trip including respondent,Number of non-household members on trip,Number of people on trip including respondent,Respondent was passenger on trip,Public transportation used on trip,"Generalized purpose of trip, home-based and non-home based",Time at destination,Weekend trip,"Trip distance in miles for personally driven vehicle trips, derived from route geometry returned by Google Maps API",Respondent drove on trip,Trip purpose summary,Household Person Identifier on Trip: 1,Household Person Identifier on Trip: 2,Household Person Identifier on Trip: 3,Household Person Identifier on Trip: 4,Household Person Identifier on Trip: 5,Household Person Identifier on Trip: 6,Household Person Identifier on Trip: 7,Household Person Identifier on Trip: 8,Household Person Identifier on Trip: 9,Household Person Identifier on Trip: 10,Household Person Identifier on Trip: 11,Household Person Identifier on Trip: 12,Household Person Identifier on Trip: 13,Unique identifier for every trip record in the file,Walk as mode used to get to public transit?,POV as mode used to get to public transit?,Bus as mode used to get to public transit?,Rail as mode used to get to public transit?,Subway as mode used to get to public transit?,Other mode used to get to public transit?,Walk as mode used to get from public transit?,POV as mode used to get from public transit?,Bus as mode used to get from public transit?,Rail as mode used to get from public transit?,Subway as mode used to get from public transit?,Other mode used to get from public transit?,Trip Destination Purpose,Travel day - day of week,Home Ownership,Count of household members,Count of household vehicles,Household income,Number of drivers in household,Household state,State FIPS for household address,Count of adult household members at least 18 years old,Number of workers in household,Date of travel day (YYYYMM),Person identifier of household respondent,"Life Cycle classification for the household, derived by attributes pertaining to age, relationship, and work status.","Metropolitan Statistical Area (MSA) category for the household's home address, based on household's home geocode and TIGER/Line Shapefiles.","Population size category of the Metropolitan Statistical Area (MSA), from the 2010-2014 five-year American Community Survey (ACS) API.",MSA heavy rail status for household,"Household's urban area classification, based on home address and 2014 TIGER/Line Shapefile",Urban area size where home address is located,Household in urban/rural area,"Price of gasoline, in cents, on respondent's travel day",2010 Census division classification for the respondent's home address,Census region classification for home address,"Grouping of household by combination of census division, MSA status, and presence of a subway system when population greater than 1 million",Race of household respondent,Hispanic status of household respondent,Core Based Statistical Area (CBSA) FIPS code for the respondent's home address,Sample where the case originated,Age,Educational Attainment,Gender,Primary Activity in Previous Week,Trip info from respondent or proxy,Worker status,"Driver status, derived",Final trip weight,Travel day trip purpose consistent with 1990 NPTS design.,"Trip distance in miles, adjusted for comparability to past surveys",Age (imputed),Gender (imputed),Vehicle Type,Urban / Rural indicator - Trip Origin Block group,Urban / Rural indicator - Trip Destination Block group,Category of the percent of renter-occupied housing in the census tract of the trip origin's location,Category of population density (persons per square mile) in the census tract of the trip origin's location,Category of housing units per square mile in the census tract of the trip origin's location,Category of workers per square mile in the census tract of the trip origin's location,Category of the percent of renter-occupied housing in the census block group of the trip origin's location,Category of population density (persons per square mile) in the census block group of the trip origin's location,Category of housing units per square mile in the census block group of the trip origin's location,Category of the percent of renter-occupied housing in the census tract of the trip destination's location,Category of population density (persons per square mile) in the census tract of the trip destination's location,Category of housing units per square mile in the census tract of the trip destination's location,Category of workers per square mile in the census tract of the trip destination's location,Category of the percent of renter-occupied housing in the census block group of the trip destination's location,Category of population density (persons per square mile) in the census block group of the trip destination's location,Category of housing units per square mile in the census block group of the trip destination's location
30514065,01,03,1105,1120,15,3.1,03,0,0,01,-1,-1,-1,-1,-1,01,01,02,01,01,1,0,1,02,02,HBSHOP,20,02,3.1,01,40,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,305140650103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,04,01,1,1,04,1,CA,06,1,0,201609,01,09,01,05,01,01,05,01,266.0,09,04,91,01,02,41860,02,72,05,02,06,01,02,01,64136.2597791434,04,3.45681,72,02,01,U,U,60,7000,7000,5000,50,7000,7000,60,1500,750,750,60,1500,750
40258011,02,02,0930,0950,20,0.484,01,3,3,-1,-1,-1,-1,-1,-1,-1,11,02,02,-1,4,0,4,-1,02,HBSHOP,250,01,-1,-1,01,01,01,01,02,01,-1,-1,-1,-1,-1,-1,-1,-1,402580110202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,01,02,5,0,03,0,CA,06,3,2,201611,01,06,01,05,01,01,05,01,265.7,09,04,91,97,01,31080,02,14,01,02,-1,02,-1,-1,1435248.43945634,03,0.484,14,02,-1,U,U,60,17000,7000,5000,50,17000,3000,50,17000,7000,5000,60,17000,7000
40133782,02,05,1125,1140,15,6.036,03,0,0,01,-1,-1,-1,-1,-1,02,03,02,01,01,1,0,1,02,02,HBW,-9,02,6.036,01,01,02,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,401337820205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,02,05,01,2,2,07,2,NY,36,2,1,201701,01,10,03,03,02,04,06,02,261.9,02,01,23,01,02,XXXXX,02,66,03,01,02,02,01,01,19020.3669066465,01,6.479646,66,01,01,S,T,20,300,300,150,30,300,50,20,1500,300,750,05,300,300
30439505,01,06,1530,1536,6,5.306,06,1,0,01,-1,-1,-1,-1,-1,01,03,02,01,01,1,1,2,02,02,NHB,9,02,5.306,01,70,01,02,02,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,304395050106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,06,04,01,4,3,07,2,TX,48,3,3,201608,01,06,03,01,02,01,01,01,203.8,07,03,73,01,02,XXXXX,02,44,03,02,01,01,01,01,97650.7609807266,04,5.9167206,44,02,04,S,S,30,7000,1500,1500,05,1500,750,50,1500,750,750,50,3000,750
30023058,01,04,1645,1715,30,1.504,17,1,0,-1,-1,-1,-1,-1,-1,-1,11,02,02,-1,1,1,2,-1,02,NHB,45,01,-1,-1,40,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300230580104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,01,02,1,1,11,1,NY,36,1,1,201610,01,01,01,05,01,01,05,01,237.2,02,01,21,01,02,35620,02,34,04,-7,01,01,01,01,1734957.92355234,03,1.504,34,01,-1,U,U,70,30000,30000,5000,70,30000,30000,60,30000,30000,5000,70,30000,30000
30380620,02,03,1330,1415,45,15.145,04,3,3,01,-1,-1,-1,-1,-1,01,13,02,01,01,4,0,4,01,02,NHB,1,02,-1,02,70,01,01,01,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,303806200203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,06,04,02,4,1,04,2,TX,48,2,2,201607,01,04,02,04,02,02,06,01,211.5,07,03,72,01,01,41700,02,21,02,02,01,02,01,01,920424.136711371,04,16.8881895,21,02,03,C,S,40,1500,750,750,60,3000,1500,40,1500,750,750,40,1500,750
30216898,01,07,1800,1840,40,2,01,1,1,-1,-1,-1,-1,-1,-1,-1,01,01,02,-1,2,0,2,-1,02,HBO,-9,02,-1,-1,01,01,02,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,302168980107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,04,01,3,2,08,2,CA,06,2,2,201607,01,04,02,05,02,01,04,01,273.4,09,04,92,01,02,41740,02,28,05,02,01,01,01,01,72383.3987256725,10,2,28,02,-1,C,C,60,7000,7000,5000,70,7000,7000,60,7000,7000,5000,70,7000,7000
30167975,05,06,1915,1930,15,3.408,03,0,0,03,-1,-1,-1,-1,-1,05,11,02,01,01,1,0,1,02,02,HBSHOP,-9,02,3.408,01,01,02,02,02,02,01,-1,-1,-1,-1,-1,-1,-1,-1,301679750506,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,04,01,5,4,01,5,WI,55,5,4,201608,03,08,02,04,02,01,01,01,220.4,03,02,32,01,02,33340,02,25,03,02,01,02,01,01,52727.8849678856,03,3.8002608,25,02,01,T,C,30,300,300,150,40,300,300,30,3000,1500,1500,40,3000,750
40042460,02,03,1645,1700,15,15.13,06,0,0,02,-1,-1,-1,-1,-1,02,11,02,01,01,1,0,1,02,02,HBSHOP,-9,02,15.13,01,01,02,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,400424600203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,06,01,3,4,08,3,GA,13,3,3,201703,02,02,03,01,02,04,06,02,234.5,05,03,53,04,01,XXXXX,01,57,03,01,01,01,01,01,501475.167016804,01,16.242055,57,01,04,T,R,30,300,300,150,30,300,300,20,50,50,25,05,300,50
40371013,01,01,0700,0710,10,1.235,04,1,0,02,-1,-1,-1,-1,-1,01,01,02,01,01,1,1,2,02,02,HBO,1,02,1.235,01,70,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,403710130101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,06,02,01,2,2,06,2,TX,48,2,1,201704,01,02,02,05,02,01,04,01,223.6,07,03,72,03,02,26420,02,49,04,02,04,01,02,01,152293.5149324,04,1.3771485,49,02,03,S,S,20,3000,750,750,05,1500,300,05,7000,1500,3000,0,7000,1500
30101415,02,02,1800,2115,195,167.097,06,2,1,97,-1,-1,-1,-1,-1,01,17,02,02,01,2,1,3,01,02,HBSOCREC,-9,02,-1,02,01,01,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,301014150202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,03,01,2,0,05,2,NC,37,2,0,201610,01,10,04,06,02,04,06,02,233.6,05,03,54,01,02,XXXXX,02,69,02,02,06,02,02,01,67028.9110150497,08,186.3298647,69,02,-1,R,R,20,50,50,25,20,50,50,20,300,50,75,20,300,50
30531809,02,02,1436,1450,14,1.937,04,1,1,01,-1,-1,-1,-1,-1,01,15,02,01,01,2,0,2,01,02,NHB,72,01,-1,02,80,01,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,305318090202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,07,01,2,2,10,2,TX,48,2,1,201609,01,02,02,05,02,01,04,01,208.5,07,03,72,01,02,26420,02,57,02,02,04,01,02,01,70500.7177379943,10,2.1599487,57,02,03,S,S,50,3000,750,1500,80,3000,1500,40,3000,1500,1500,60,7000,3000
30198162,02,05,1315,1335,20,3.845,03,0,0,02,-1,-1,-1,-1,-1,02,01,02,01,01,1,0,1,02,02,HBO,55,02,3.845,01,97,02,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,301981620205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,05,05,01,2,2,05,2,OR,41,2,0,201611,02,10,02,04,02,01,04,01,271.2,09,04,92,01,02,38900,01,75,04,02,04,01,02,01,509751.171716445,04,4.2875595,75,02,01,U,U,40,7000,3000,3000,30,7000,3000,20,7000,3000,5000,20,7000,3000
40333534,03,02,0600,0820,140,2.536,10,2,2,-1,-1,-1,-1,-1,-1,-1,07,02,02,-1,3,0,3,-1,02,NHB,420,02,-1,-1,20,01,01,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,403335340302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,08,06,02,3,1,03,1,GA,13,1,1,201703,01,05,01,05,01,01,05,01,234.5,05,03,51,02,02,12060,02,9,-1,02,-1,02,-1,-1,798370.836123699,05,2.536,9,02,-1,S,S,40,3000,750,1500,40,1500,750,05,3000,750,750,20,3000,750
40121635,01,02,1045,1125,40,8.88,13,15,0,-1,-1,-1,-1,-1,-1,-1,13,02,02,-1,1,15,16,-1,02,HBSHOP,-9,01,-1,-1,01,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,401216350102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,07,02,1,0,04,0,AZ,04,1,0,201702,01,09,02,05,02,01,04,01,281.9,08,04,82,01,02,38060,01,84,03,02,06,01,02,02,2632802.77872871,10,8.88,84,02,-1,U,S,40,7000,7000,3000,30,7000,3000,20,3000,3000,350,05,3000,1500
30004311,01,03,1150,1215,25,2.96,03,1,0,01,-1,-1,-1,-1,-1,97,18,02,01,02,1,1,2,01,02,NHB,55,02,-1,02,40,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300043110103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,03,02,2,1,03,1,CA,06,2,0,201610,01,10,03,01,02,01,01,01,274.0,09,04,93,01,02,XXXXX,02,61,03,02,06,01,02,02,74857.9153318056,03,3.300696,61,02,01,C,T,60,7000,1500,1500,70,3000,1500,20,750,300,350,20,3000,1500
40532012,01,01,0600,0650,50,28.755,03,1,1,02,-1,-1,-1,-1,-1,01,01,02,01,01,2,0,2,02,02,HBW,430,02,28.755,01,10,01,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,405320120101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,03,06,01,2,2,08,1,NC,37,2,2,201701,01,02,03,03,02,02,06,01,240.8,05,03,53,01,02,XXXXX,01,55,04,01,01,01,01,01,200218.226046644,01,30.8684925,55,01,01,R,R,20,50,50,25,20,300,50,30,300,300,150,30,300,300
40637017,02,02,1440,1441,1,0.7,04,1,1,01,-1,-1,-1,-1,-1,02,14,02,01,01,2,0,2,02,02,HBO,169,02,0.7,01,01,01,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,406370170202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,02,01,2,2,05,2,MD,24,2,0,201703,01,10,01,04,01,04,06,02,252.2,05,03,51,01,02,12580,02,73,03,01,06,01,02,01,33798.852236655,04,0.78057,73,01,03,T,T,20,750,300,350,20,750,300,20,750,300,350,20,750,300
40628351,03,01,0915,0923,8,4.79,03,2,2,02,-1,-1,-1,-1,-1,01,01,02,01,01,3,0,3,01,02,HBO,262,02,-1,02,20,01,02,01,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,406283510301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,08,05,01,4,3,07,2,GA,13,2,2,201703,01,06,01,05,01,01,05,01,236.9,05,03,51,02,02,12060,02,6,-1,01,-1,02,-1,-1,258221.654482728,05,5.341329,6,01,01,C,S,05,3000,750,1500,05,3000,1500,05,1500,750,750,05,3000,750
40191368,02,02,1830,1850,20,4.037,03,1,1,02,-1,-1,-1,-1,-1,01,01,02,01,01,2,0,2,01,02,HBO,-9,01,-1,02,01,01,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,401913680202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,06,01,2,2,06,2,TX,48,2,0,201703,01,10,02,04,02,01,04,01,218.8,07,03,72,01,02,41700,02,67,03,02,06,01,02,01,23549.2687539113,11,4.5016587,67,02,01,S,S,50,3000,1500,3000,05,1500,750,05,1500,750,1500,05,3000,750
40131356,01,03,1315,1330,15,5.233,04,0,0,01,-1,-1,-1,-1,-1,01,04,02,01,01,1,0,1,02,02,NHB,120,02,5.233,01,10,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,401313560103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,03,04,01,2,3,09,2,TX,48,2,2,201703,01,02,02,05,02,01,04,01,220.5,07,03,72,01,02,26420,02,59,04,01,01,01,01,01,35566.9809307915,02,5.8353183,59,01,03,S,S,50,3000,750,1500,50,3000,750,20,1500,300,750,05,1500,300
40342825,01,02,1645,1700,15,2.393,04,4,4,01,-1,-1,-1,-1,-1,02,15,02,01,01,5,0,5,01,02,NHB,120,01,-1,02,80,01,01,01,01,01,-1,-1,-1,-1,-1,-1,-1,-1,403428250102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,01,01,5,3,11,2,FL,12,2,2,201701,01,06,02,04,02,01,04,01,239.6,05,03,52,01,01,45300,01,46,05,02,01,01,01,01,3825279.55126093,10,2.6684343,46,02,03,S,U,40,3000,3000,3000,50,1500,1500,50,7000,3000,3000,70,7000,7000
30468531,01,02,1700,1710,10,1.703,04,0,0,01,-1,-1,-1,-1,-1,01,03,02,01,01,1,0,1,02,02,NHB,-9,02,1.703,01,50,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,304685310102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,04,02,1,1,05,1,TX,48,1,1,201607,01,01,02,05,02,01,04,01,211.5,07,03,72,02,02,19100,02,61,03,02,01,01,01,01,129496.333900194,10,1.8990153,61,02,03,S,S,40,1500,300,750,50,750,300,90,7000,7000,5000,90,7000,3000
30360368,02,01,0625,0645,20,6.468,03,0,0,01,-1,-1,-1,-1,-1,02,01,02,01,01,1,0,1,02,02,HBW,485,02,6.468,01,10,02,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,303603680201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,03,03,01,2,2,05,2,PA,42,2,2,201608,01,02,03,02,02,01,02,01,228.3,02,01,23,01,02,XXXXX,01,53,02,02,01,01,01,01,693638.068743346,01,6.943398,53,02,01,T,T,20,3000,1500,3000,30,7000,3000,50,3000,1500,1500,70,7000,3000
40737431,03,01,0715,0725,10,2.96,06,0,0,04,-1,-1,-1,-1,-1,03,01,02,01,01,1,0,1,02,02,HBW,545,02,2.96,01,10,02,02,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,407374310301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,03,04,01,4,8,09,4,GA,13,4,4,201702,01,08,03,03,02,04,06,02,235.6,05,03,53,01,02,XXXXX,02,20,03,01,01,02,01,01,349055.181430007,01,3.17756,20,01,04,R,T,20,300,300,150,20,300,300,30,750,300,350,40,1500,750
40783871,03,01,1800,1815,15,2.475,03,1,1,02,-1,-1,-1,-1,-1,01,16,02,01,01,2,0,2,01,02,NHB,75,02,-1,02,50,01,02,01,02,02,02,-1,-1,-1,-1,-1,-1,-1,407838710301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,04,02,6,2,06,3,CA,06,4,1,201702,01,04,02,04,02,01,04,01,281.9,09,04,92,01,02,40900,02,28,02,01,01,01,01,01,181060.261368374,10,2.7598725,28,01,01,U,U,40,3000,1500,1500,40,7000,3000,60,7000,3000,3000,30,7000,3000
30230183,01,01,0630,0643,13,1.594,06,0,0,01,-1,-1,-1,-1,-1,01,01,02,01,01,1,0,1,02,02,HBW,617,02,1.594,01,10,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,302301830101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,03,02,01,1,1,06,1,TX,48,1,1,201610,01,01,04,06,02,02,06,01,215.2,07,03,74,01,01,XXXXX,02,51,05,02,01,01,01,01,248368.297909128,01,1.711159,51,02,04,T,T,50,1500,750,750,50,7000,3000,50,1500,750,750,40,1500,300
30336579,02,04,0745,0815,30,7.179,03,2,0,97,-1,-1,-1,-1,-1,97,01,02,02,02,1,2,3,01,02,HBW,2,02,-1,02,10,02,01,02,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,303365790204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,03,06,01,4,2,11,2,PA,42,2,2,201609,01,04,02,04,02,01,04,01,236.1,02,01,22,01,02,38300,01,35,04,02,01,01,01,01,1478754.50867464,01,7.7066565,35,02,-1,U,U,20,7000,3000,3000,50,7000,3000,70,7000,7000,3000,70,7000,3000
40321089,01,05,1742,1802,20,4.46,03,0,0,01,-1,-1,-1,-1,-1,01,12,02,01,01,1,0,1,02,02,NHB,128,02,4.46,01,50,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,403210890105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,06,01,1,2,04,1,IA,19,1,1,201703,01,01,03,01,02,01,01,01,235.8,04,02,43,01,02,XXXXX,02,56,03,01,01,01,01,01,5911.23358931692,08,4.973346,56,01,01,S,C,60,750,300,350,60,750,300,70,3000,1500,750,70,7000,3000
40110211,01,02,1730,1830,60,25.354,03,0,0,02,-1,-1,-1,-1,-1,01,03,02,01,01,1,0,1,02,02,HBW,-9,02,25.354,01,01,01,02,02,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,401102110102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,04,01,4,3,09,2,CA,06,2,1,201701,01,06,03,03,01,01,01,01,274.8,09,04,93,01,02,XXXXX,02,41,04,01,01,01,01,01,335127.790341383,01,27.217519,41,01,01,U,S,70,7000,1500,3000,90,7000,3000,05,300,300,150,05,3000,1500
40744678,01,01,1000,1026,26,13.041,04,1,1,02,-1,-1,-1,-1,-1,01,01,02,01,01,2,0,2,02,02,HBO,44,02,13.041,01,70,01,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,407446780101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,06,05,01,2,2,09,2,GA,13,2,0,201611,02,10,01,05,01,02,06,01,232.7,05,03,51,02,02,12060,02,77,04,01,06,02,02,01,112142.337776407,04,14.5420191,77,01,03,T,T,05,300,300,150,05,750,300,20,750,300,350,20,1500,300
40011486,01,05,1010,1100,50,21.936,03,1,0,01,-1,-1,-1,-1,-1,01,11,02,01,01,1,1,2,02,02,NHB,150,01,21.936,01,50,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,400114860105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,07,01,1,1,03,1,NC,37,1,0,201612,01,09,03,03,02,04,06,02,223.0,05,03,53,01,02,XXXXX,02,63,03,01,06,01,02,01,174276.184400026,08,24.4608336,63,01,01,T,R,40,750,300,150,05,750,300,20,300,50,75,30,300,50
30439792,02,02,1105,1118,13,2.037,04,0,0,02,-1,-1,-1,-1,-1,02,11,02,01,01,1,0,1,02,02,HBSHOP,118,01,2.037,01,01,02,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,304397920202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,01,01,2,3,02,1,CA,06,2,1,201607,01,07,01,05,01,01,05,01,278.7,09,04,91,97,01,31080,02,63,01,01,01,02,01,01,1160018.50273528,03,2.2714587,63,01,03,U,U,60,17000,7000,5000,60,7000,1500,80,17000,3000,5000,80,30000,17000
30090100,01,02,2140,2143,3,1.133,03,0,0,01,-1,-1,-1,-1,-1,01,03,02,01,01,1,0,1,02,02,HBW,-9,02,1.133,01,01,01,02,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300901000102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,02,01,3,3,08,3,NY,36,3,3,201611,01,02,03,01,02,01,01,01,243.2,02,01,23,01,02,XXXXX,02,60,03,02,01,01,01,01,14273.9199355635,01,1.2162755,60,02,01,C,S,60,7000,3000,3000,60,7000,3000,20,3000,1500,1500,20,3000,750
30415199,01,01,0720,0739,19,14.469,06,0,0,02,-1,-1,-1,-1,-1,01,01,02,01,01,1,0,1,02,02,HBW,111,02,14.469,01,10,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,304151990101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,03,03,01,2,3,07,2,GA,13,2,2,201611,01,02,03,02,02,01,02,01,232.7,05,03,53,06,02,XXXXX,02,25,03,01,01,01,01,01,35605.4521925863,01,15.5324715,25,01,04,T,R,40,300,300,150,40,300,300,30,50,50,25,30,300,50
30441520,01,02,0920,0950,30,6.902,02,1,0,-1,-1,-1,-1,-1,-1,-1,16,02,02,-1,1,1,2,-1,02,NHB,50,01,-1,-1,50,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,304415200102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,01,02,2,1,08,1,CA,06,2,2,201606,01,02,01,04,01,01,05,01,278.6,09,04,91,01,02,41940,02,25,04,02,01,01,01,01,616741.308081254,08,6.902,25,02,-1,T,S,30,300,300,150,20,300,300,50,750,750,350,60,3000,3000
30527251,01,03,1040,1100,20,0.991,04,1,0,01,-1,-1,-1,-1,-1,01,18,02,01,01,1,1,2,02,02,NHB,10,02,0.991,01,40,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,305272510103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,02,01,2,2,07,2,NY,36,2,2,201607,01,02,03,01,02,04,06,02,233.8,02,01,23,01,02,XXXXX,02,67,03,02,01,01,01,01,7746.50972398208,03,1.1050641,67,02,03,S,S,50,1500,750,750,40,750,300,50,1500,750,750,70,3000,1500
40451517,01,03,2015,2130,75,46.804,04,0,0,02,-1,-1,-1,-1,-1,01,04,02,01,01,1,0,1,02,02,HBW,-9,01,46.804,01,01,01,02,02,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,404515170103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,07,01,4,2,09,4,NY,36,4,2,201702,01,08,03,01,02,01,01,01,256.3,02,01,23,01,01,XXXXX,02,59,05,01,01,01,01,01,75016.7394750403,02,52.1911404,59,01,03,T,T,05,300,300,150,05,300,300,05,300,300,150,05,300,300
30075568,02,06,1215,1220,5,1.536,06,0,0,01,-1,-1,-1,-1,-1,02,11,02,01,01,1,0,1,02,02,NHB,10,02,1.536,01,40,02,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300755680206,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,06,01,2,2,04,2,IA,19,2,0,201605,01,10,03,01,02,01,01,01,220.2,04,02,43,01,02,XXXXX,02,75,02,01,06,02,02,01,5616.12239641838,03,1.7127936,75,01,04,C,T,05,3000,1500,1500,05,3000,1500,20,300,300,150,30,300,50
40373517,02,01,0545,0615,30,26.252,04,0,0,04,-1,-1,-1,-1,-1,02,01,02,01,01,1,0,1,02,02,HBW,510,02,26.252,01,10,02,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,403735170201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,03,05,01,3,4,08,3,WI,55,3,3,201701,03,02,03,01,02,02,06,01,243.5,03,02,33,01,02,XXXXX,02,59,03,01,01,02,01,01,73509.7056595163,01,28.181522,59,01,03,R,R,20,50,50,25,20,300,50,20,50,50,25,30,750,300
30146823,01,04,1155,1200,5,0.799,03,0,0,01,-1,-1,-1,-1,-1,01,14,02,01,01,1,0,1,02,02,HBO,20,02,0.799,01,01,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,301468230104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,03,01,1,1,08,1,CA,06,1,0,201611,01,09,03,02,02,02,06,01,263.8,09,04,93,01,02,XXXXX,02,74,04,02,06,01,02,01,71182.2301484161,04,0.8909649,74,02,01,R,R,20,50,50,25,20,50,50,20,50,50,25,20,50,50
